Angle: 0.0, Azimuth: 162.75
Angle: 286.8399956803294, Azimuth: 163.16
Angle: 0.0, Azimuth: 163.54
Angle: 0.0, Azimuth: 163.95
Angle: 0.0, Azimuth: 164.35
Angle: 0.0, Azimuth: 164.74
Angle: 0.0, Azimuth: 165.14
Angle: 0.0, Azimuth: 165.55
Angle: 0.0, Azimuth: 165.94
Angle: 0.0, Azimuth: 166.33
Angle: 0.0, Azimuth: 166.74
Angle: 0.0, Azimuth: 167.13
Angle: 0.0, Azimuth: 167.54
Angle: 0.0, Azimuth: 167.93
Angle: 0.0, Azimuth: 168.33
Angle: 0.0, Azimuth: 168.72
Angle: 0.0, Azimuth: 169.12
Angle: 0.0, Azimuth: 169.52
Angle: 0.0, Azimuth: 169.92
Angle: 0.0, Azimuth: 170.32
Angle: 0.0, Azimuth: 170.7
Angle: 0.0, Azimuth: 171.11
Angle: 0.0, Azimuth: 171.5
Angle: 0.0, Azimuth: 171.89
Angle: 0.0, Azimuth: 172.3
Angle: 0.0, Azimuth: 172.71
Angle: 0.0, Azimuth: 173.11
Angle: 0.0, Azimuth: 173.49
Angle: 0.0, Azimuth: 173.9
Angle: 0.0, Azimuth: 174.3
Angle: 0.0, Azimuth: 174.7
Angle: 0.0, Azimuth: 175.09
Angle: 0.0, Azimuth: 175.5
Angle: 0.0, Azimuth: 175.89
Angle: 0.0, Azimuth: 176.28
Angle: 0.0, Azimuth: 176.68
Angle: 0.0, Azimuth: 177.09
Angle: 0.0, Azimuth: 177.48
Angle: 0.0, Azimuth: 177.87
Angle: 0.0, Azimuth: 178.28
Angle: 0.0, Azimuth: 178.67
Angle: 0.0, Azimuth: 179.07
Angle: 0.0, Azimuth: 179.47
Angle: 0.0, Azimuth: 179.87
Angle: 0.0, Azimuth: 180.27
Angle: 0.0, Azimuth: 180.65
Angle: 0.0, Azimuth: 181.05
Angle: 0.0, Azimuth: 181.45
Angle: 0.0, Azimuth: 181.85
Angle: 0.0, Azimuth: 182.25
Angle: 0.0, Azimuth: 182.65
Angle: 0.0, Azimuth: 183.04
Angle: 0.0, Azimuth: 183.44
Angle: 0.0, Azimuth: 183.85
Angle: 0.0, Azimuth: 184.24
Angle: 0.0, Azimuth: 184.64
Angle: 0.0, Azimuth: 185.03
Angle: 0.0, Azimuth: 185.43
Angle: 0.0, Azimuth: 185.83
Angle: 0.0, Azimuth: 186.23
Angle: 0.0, Azimuth: 186.63
Angle: 0.0, Azimuth: 187.04
Angle: 0.0, Azimuth: 187.43
Angle: 0.0, Azimuth: 187.82
Angle: 0.0, Azimuth: 188.22
Angle: 0.0, Azimuth: 188.62
Angle: 0.0, Azimuth: 189.02
Angle: 0.0, Azimuth: 189.42
Angle: 0.0, Azimuth: 189.82
Angle: 0.0, Azimuth: 190.22
Angle: 0.0, Azimuth: 190.6
Angle: 0.0, Azimuth: 191.0
Angle: 258.58999333640395, Azimuth: 191.41
Angle: 258.1900102857266, Azimuth: 191.81
Angle: 257.7899876266199, Azimuth: 192.21
Angle: 257.40003668899396, Azimuth: 192.6
Angle: 257.0099955562241, Azimuth: 192.99
Angle: 256.60996975015934, Azimuth: 193.39
Angle: 256.2100395631131, Azimuth: 193.79
Angle: 255.79998126585866, Azimuth: 194.2
Angle: 255.41000863784706, Azimuth: 194.59
Angle: 255.00998956098573, Azimuth: 194.99
Angle: 254.61999708472302, Azimuth: 195.38
Angle: 254.21001977546632, Azimuth: 195.79
Angle: 253.82000527161247, Azimuth: 196.18
Angle: 253.4200159462558, Azimuth: 196.58
Angle: 253.01995002121419, Azimuth: 196.98
Angle: 252.61999712419345, Azimuth: 197.38
Angle: 252.21995987030965, Azimuth: 197.78
Angle: 251.82001732760472, Azimuth: 198.18
Angle: 0.0, Azimuth: 198.57
Angle: 251.03000217676538, Azimuth: 198.97
Angle: 250.6300054327964, Azimuth: 199.37
Angle: 250.22998466935843, Azimuth: 199.77
Angle: 249.83999912696538, Azimuth: 200.16
Angle: 249.43993325889954, Azimuth: 200.56
Angle: 249.0400461691163, Azimuth: 200.96
Angle: 248.6399574493301, Azimuth: 201.36
Angle: 248.23998877705583, Azimuth: 201.76
Angle: 247.83994311008036, Azimuth: 202.16
Angle: 247.4400310115541, Azimuth: 202.56
Angle: 247.0399531563, Azimuth: 202.96
Angle: 246.65002730198438, Azimuth: 203.35
Angle: 246.24999751013564, Azimuth: 203.75
Angle: 0.0, Azimuth: 204.14
Angle: 245.44997971191526, Azimuth: 204.55
Angle: 0.0, Azimuth: 204.95
Angle: 0.0, Azimuth: 205.33
Angle: 0.0, Azimuth: 205.74
Angle: 0.0, Azimuth: 206.14
Angle: 0.0, Azimuth: 206.53
Angle: 243.0598841741389, Azimuth: 206.94
Angle: 242.65997458602874, Azimuth: 207.34
Angle: 242.27007546817936, Azimuth: 207.73
Angle: 241.88003717257305, Azimuth: 208.12
Angle: 241.4699786567182, Azimuth: 208.53
Angle: 241.069939411457, Azimuth: 208.93
Angle: 240.67994111862825, Azimuth: 209.32
Angle: 240.2800393449256, Azimuth: 209.72
Angle: 239.88008777043586, Azimuth: 210.12
Angle: 239.48000421988576, Azimuth: 210.52
Angle: 239.0799744892169, Azimuth: 210.92
Angle: 238.69994329115514, Azimuth: 211.3
Angle: 238.29990451602032, Azimuth: 211.7
Angle: 237.8899007801338, Azimuth: 212.11
Angle: 237.50004777790218, Azimuth: 212.5
Angle: 237.10997235292257, Azimuth: 212.89
Angle: 236.70999850619796, Azimuth: 213.29
Angle: 236.30998758291352, Azimuth: 213.69
Angle: 235.90996913441154, Azimuth: 214.09
Angle: 235.51001071308235, Azimuth: 214.49
Angle: 235.12002520708646, Azimuth: 214.88
Angle: 234.7200151291413, Azimuth: 215.28
Angle: 234.30997180567783, Azimuth: 215.69
Angle: 233.9199662159785, Azimuth: 216.08
Angle: 233.5199986610343, Azimuth: 216.48
Angle: 233.10997580389352, Azimuth: 216.89
Angle: 232.719972569101, Azimuth: 217.28
Angle: 232.32998933731497, Azimuth: 217.67
Angle: 231.92999548964042, Azimuth: 218.07
Angle: 231.5200342186223, Azimuth: 218.48
Angle: 231.1299612324697, Azimuth: 218.87
Angle: 230.73000569073784, Azimuth: 219.27
Angle: 230.33004036362695, Azimuth: 219.67
Angle: 229.9299972509752, Azimuth: 220.07
Angle: 229.52994208428572, Azimuth: 220.47
Angle: 229.12997457329854, Azimuth: 220.87
Angle: 228.7399625736348, Azimuth: 221.26
Angle: 228.3500294732059, Azimuth: 221.65
Angle: 227.95004423509914, Azimuth: 222.05
Angle: 227.55000283573526, Azimuth: 222.45
Angle: 227.14997180500723, Azimuth: 222.85
Angle: 226.75000509435938, Azimuth: 223.25
Angle: 226.3500042511246, Azimuth: 223.65
Angle: 225.95999329921744, Azimuth: 224.04
Angle: 225.55005345831012, Azimuth: 224.45
Angle: 225.1600020124072, Azimuth: 224.84
Angle: 224.75995044505038, Azimuth: 225.24
Angle: 224.35996103717991, Azimuth: 225.64
Angle: 223.96000645614254, Azimuth: 226.04
Angle: 223.54999833515308, Azimuth: 226.45
Angle: 223.15999128769243, Azimuth: 226.84
Angle: 222.760001175426, Azimuth: 227.24
Angle: 222.3599868010738, Azimuth: 227.64
Angle: 221.96001548473475, Azimuth: 228.04
Angle: 221.5699772274944, Azimuth: 228.43
Angle: 221.1700163324487, Azimuth: 228.83
Angle: 220.77002683365106, Azimuth: 229.23
Angle: 220.37003542889067, Azimuth: 229.63
Angle: 219.97000199066247, Azimuth: 230.03
Angle: 219.57001922551814, Azimuth: 230.43
Angle: 219.16999103430797, Azimuth: 230.83
Angle: 218.78003705014044, Azimuth: 231.22
